Mun Nombre,Mun Id,coordenadas_colombia.latitud,coordenadas_colombia.longitud
JUNIN,25372,4.75,'-73.6666667
LA APARTADA,23350,"",""
LA ARGENTINA,41378,2.25,'-76.1666667
LA BELLEZA,68377,5.8613889,'-73.9683333
LA CALERA,25377,4.75,'-73.9166667
LA CAPILLA,15380,5.15,'-73.45
LA CEJA,5376,6,'-75.4166667
LA CELIA,66383,4.9666667,'-76.0
LA CRUZ,52378,1.55,'-76.8833333
LA CUMBRE,76377,,
LA DORADA,17380,5.5333333,'-74.7
LA ESPERANZA,54385,8.1666667,'-72.4666667
LA ESTRELLA,5380,6.1666667,'-75.6666667
LA FLORIDA,52381,1.25,'-77.4166667
LA GLORIA,20383,8.5833333,'-73.5833333
LA JAGUA DE IBIRICO,20400,9.5641667,'-73.3375
LA JAGUA DEL PILAR,44420,10.5166667,'-73.0833333
LA LLANADA,52385,1.4777778,'-77.5838889
LA MACARENA,50350,2.8536111,'-73.9436111
LA MERCED,17388,5.4019444,'-75.8847222
LA MESA,25386,4.6666667,'-74.5
LA MONTAÑITA,18410,1.5833333,'-75.25
LA PALMA,25394,5.4166667,'-74.4166667
LA PAZ,20621,10.1666667,'-73.25
LA PAZ,68397,6.25,'-73.4666667
LA PEÑA,25398,5.25,'-74.4166667
LA PINTADA,5390,5.75,'-75.6
LA PLATA,41396,2.4166667,'-76.1666667
LA PLAYA,54398,8.25,'-73.1666667
LA PRIMAVERA,99524,5.4905556,'-70.4091667
LA SALINA,85136,6.1852778,'-72.3444444
LA SIERRA,19392,2.25,'-76.8333333
LA TEBAIDA,63401,4.45,'-75.8
LA UNION,52399,1.5833333,'-77.0833333
LA UNION,5400,5.9166667,'-75.3333333
LA UNION,70400,8.8605556,'-75.2805556
LA UNION,76400,4.5358333,'-76.1066667
LA UVITA,15403,6.3333333,'-72.5
LA VEGA,19397,2.0833333,'-76.8333333
LA VEGA,25402,5,'-74.35
LA VICTORIA,15401,5.5258333,'-74.2361111
LA VICTORIA,76403,4.5238889,'-76.0411111
LA VIRGINIA,66400,4.9166667,'-75.8333333
LABATECA,54377,7.3333333,'-72.5
LABRANZAGRANDE,15377,5.5833333,'-72.5833333
LANDAZURI,68385,6.2238889,'-73.8127778
LEBRIJA,68406,7.4166667,'-73.4166667
LEGUIZAMO,86573,'-0.2,'-74.7666667
LEIVA,52405,1.9375,'-77.3080556
